,Gesture Name,joint_head_x,joint_head_y,joint_head_z,joint_neck_x,joint_neck_y,joint_neck_z,joint_torso_x,joint_torso_y,joint_torso_z,joint_waist_x,joint_waist_y,joint_waist_z,joint_left_collar_x,joint_left_collar_y,joint_left_collar_z,joint_left_shoulder_x,joint_left_shoulder_y,joint_left_shoulder_z,joint_left_elbow_x,joint_left_elbow_y,joint_left_elbow_z,joint_left_wrist_x,joint_left_wrist_y,joint_left_wrist_z,joint_left_hand_x,joint_left_hand_y,joint_left_hand_z,joint_right_collar_x,joint_right_collar_y,joint_right_collar_z,joint_right_shoulder_x,joint_right_shoulder_y,joint_right_shoulder_z,joint_right_elbow_x,joint_right_elbow_y,joint_right_elbow_z,joint_right_wrist_x,joint_right_wrist_y,joint_right_wrist_z,joint_right_hand_x,joint_right_hand_y,joint_right_hand_z,joint_left_hip_x,joint_left_hip_y,joint_left_hip_z,joint_left_knee_x,joint_left_knee_y,joint_left_knee_z,joint_left_ankle_x,joint_left_ankle_y,joint_left_ankle_z,joint_right_hip_x,joint_right_hip_y,joint_right_hip_z,joint_right_knee_x,joint_right_knee_y,joint_right_knee_z,joint_right_ankle_x,joint_right_ankle_y,joint_right_ankle_z
2342,Point At DX,173.36700000000002,273.577,2380.52,161.865,172.153,2302.55,153.326,-174.851,2245.7,150.10299999999998,-380.423,2218.0,159.734,85.5583,2288.36,317.895,102.594,2368.35,317.895,-188.81099999999998,2368.35,317.895,-459.551,2368.35,317.895,-568.319,2368.35,159.734,85.5583,2288.36,69.6816,101.557,2161.02,335.853,119.875,2043.83,598.891,149.061,1986.74,705.2139999999999,160.858,1963.66,241.877,-486.842,2245.94,241.877,-922.3910000000001,2245.94,241.877,-1332.0,2245.94,51.9489,-484.45599999999996,2195.08,94.6811,-853.191,1967.24,94.6811,-1262.8,1967.24
2261,Point At DX,223.55900000000003,257.198,2387.98,210.363,146.891,2317.47,197.16099999999997,-219.467,2281.17,194.69099999999997,-410.736,2245.35,207.217,59.5997,2308.82,363.55800000000005,51.2741,2371.75,441.392,-237.912,2396.1,503.969,-498.94699999999995,2318.77,516.484,-551.154,2303.3,207.217,59.5997,2308.82,49.1103,89.4803,2238.35,-22.3136,167.81900000000002,1957.21,-25.9816,282.579,1702.55,-26.7152,305.53,1651.62,298.83299999999997,-496.462,2252.63,282.151,-912.74,2125.92,282.151,-1322.35,2125.92,79.3765,-477.092,2231.02,87.7034,-872.824,2049.5,87.7034,-1282.43,2049.5
1308,Drop SX,37.7732,248.679,2336.66,27.4211,131.974,2307.55,-6.3746599999999995,-219.135,2304.87,-10.552,-411.57599999999996,2264.91,19.2119,46.688,2306.9,182.93400000000003,26.0464,2354.7,393.655,-79.5446,2519.39,569.512,-23.4547,2335.86,604.683,-12.2367,2299.15,19.2119,46.688,2306.9,-140.631,40.0981,2276.8,-227.007,-233.769,2291.38,-226.822,-456.472,2156.62,-226.785,-501.01300000000003,2129.67,86.3557,-486.26300000000003,2278.27,70.6006,-850.75,2060.12,70.6006,-1250.6,2060.12,-115.772,-469.38199999999995,2240.23,-1.1325,-784.4730000000001,1978.96,-1.1325,-1184.32,1978.96
309,Drop DX,372.851,326.507,1894.59,386.926,202.283,1873.44,386.63599999999997,-140.253,1919.41,372.522,-331.92400000000004,1894.74,386.85400000000004,117.569,1884.81,533.641,111.575,1808.53,593.3,-165.046,1787.31,604.04,-380.504,1636.27,606.188,-423.596,1606.07,386.85400000000004,117.569,1884.81,246.987,124.568,1964.78,65.6232,47.8401,2169.11,-157.533,99.5959,2039.21,-202.16400000000002,109.947,2013.23,465.621,-392.926,1867.63,377.964,-756.61,1664.82,377.964,-1155.48,1664.82,275.543,-391.222,1913.84,275.543,-816.757,1913.84,275.543,-1215.62,1913.84
2388,Point At DX,183.28599999999997,271.22900000000004,2292.18,182.252,149.62,2252.59,185.665,-193.852,2230.23,192.679,-386.477,2200.26,183.123,62.0344,2246.89,294.075,46.7695,2357.04,317.741,-243.144,2375.67,451.79699999999997,-468.57099999999997,2423.84,478.608,-513.656,2433.47,183.123,62.0344,2246.89,83.7444,67.3691,2120.21,317.002,-18.583,1968.03,449.699,-54.9577,1739.6,476.23800000000006,-62.2326,1693.92,294.022,-502.49199999999996,2210.68,294.022,-937.946,2210.68,294.022,-1347.56,2210.68,88.7422,-493.17400000000004,2179.94,88.7422,-928.6289999999999,2179.94,88.7422,-1338.24,2179.94
653,Drop DX,465.18800000000005,352.18699999999995,1791.33,476.788,228.18,1763.41,457.967,-120.51100000000001,1783.19,449.494,-309.48,1751.81,472.18699999999995,142.925,1768.24,630.809,126.354,1699.42,671.755,-153.78799999999998,1678.32,657.0160000000001,-386.161,1539.14,654.068,-432.635,1511.31,472.18699999999995,142.925,1768.24,327.064,147.60299999999998,1859.72,91.7501,50.0159,1985.04,-102.20299999999999,160.967,1831.24,-140.994,183.157,1800.48,548.856,-366.86,1733.28,501.49300000000005,-712.597,1492.02,501.49300000000005,-1111.66,1492.02,346.871,-361.964,1765.69,346.871,-786.209,1765.69,346.871,-1185.28,1765.69
3306,Point At SX,18.6861,239.111,2471.34,4.23055,116.611,2436.26,-44.8497,-237.63400000000001,2436.02,-56.0415,-436.281,2393.36,-7.6862699999999995,30.5994,2436.2,171.425,11.8662,2437.53,332.665,-192.326,2296.78,471.336,-347.941,2107.86,499.07099999999997,-379.064,2070.08,-7.6862699999999995,30.5994,2436.2,-174.68,35.3803,2454.14,-257.245,-243.817,2506.45,-297.643,-510.72,2427.3,-313.096,-612.811,2397.03,51.9649,-507.666,2370.05,6.41777,-884.824,2166.95,6.41777,-1290.04,2166.95,-164.705,-512.351,2394.54,-151.74,-916.485,2245.94,-151.74,-1321.7,2245.94
3649,Point At SX,-172.22799999999998,275.348,2123.14,-164.58599999999998,158.716,2066.15,-173.955,-198.62900000000002,2023.84,-193.28099999999998,-386.708,1978.68,-166.854,72.2151,2055.91,-17.0409,64.6424,1997.43,32.1077,7.69753,1716.31,22.5108,-1.97839,1450.61,20.5914,-3.9135800000000005,1397.47,-166.854,72.2151,2055.91,-312.546,55.6736,2119.38,-367.046,-230.138,2124.42,-513.692,-448.397,2083.89,-543.021,-492.04900000000004,2075.79,-81.2395,-460.473,1948.19,-93.1901,-798.095,1678.5,-93.1901,-1204.72,1678.5,-306.73900000000003,-475.108,1974.08,-239.247,-881.029,1841.66,-239.247,-1287.65,1841.66
2371,Point At DX,277.79400000000004,263.835,2429.09,274.23900000000003,152.995,2369.84,245.122,-196.59599999999998,2310.04,241.08700000000002,-392.37,2281.93,267.057,66.7662,2355.09,400.85,31.5553,2436.19,445.26300000000003,-258.118,2465.15,541.2080000000001,-510.254,2426.97,560.3969999999999,-560.681,2419.34,267.057,66.7662,2355.09,153.393,82.1249,2245.13,331.892,16.7558,2020.21,481.369,-4.72642,1793.43,541.039,-13.302,1702.9,335.829,-512.7669999999999,2289.06,335.829,-948.221,2289.06,335.829,-1357.83,2289.06,125.12,-481.019,2256.05,144.605,-890.805,2110.05,144.605,-1300.42,2110.05
4018,Take DX,345.99199999999996,316.03700000000003,1977.22,346.639,189.021,1942.5,330.11400000000003,-164.24200000000002,1915.37,324.651,-374.43,1867.1,342.48800000000006,100.288,1935.68,517.227,88.5929,1948.55,592.29,-200.162,1970.0,611.055,-431.972,1831.8,614.809,-478.334,1804.16,342.48800000000006,100.288,1935.68,165.146,109.995,1936.34,-49.0116,80.5098,1729.6,11.0616,339.22,1678.15,23.0762,390.962,1667.86,434.186,-405.663,1877.95,396.976,-799.816,1681.47,396.976,-1215.57,1681.47,212.16299999999998,-395.744,1877.57,178.125,-791.465,1683.67,178.125,-1207.22,1683.67
